country																																																																																																																																
European Union (28 countries)																															1 646.710	1 648.240	1 609.920	1 608.360	1 601.460	1 648.540	1 705.630	1 689.000	1 698.560	1 684.540	1 695.150	1 735.290	1 734.440	1 771.180	1 787.330	1 793.700	1 800.580	1 769.940	1 762.350	1 660.530	1 726.490	1 659.760	1 646.620	1 628.270	1 566.870	1 586.360	
Finland	9.730	10.050	10.610	11.210	12.180	13.180	14.040	14.400	15.460	16.960	17.840	18.170	19.430	21.030	20.560	19.700	21.080	21.400	22.170	23.650	24.600	23.690	23.200	23.420	23.970	25.830	26.960	29.400	27.650	28.560	28.380	28.790	27.130	28.460	30.390	28.920	31.110	32.260	32.570	32.460	32.390	33.230	34.960	36.870	37.270	34.390	37.420	36.860	35.410	33.450	36.600	35.190	33.960	33.290	34.110	32.490	33.860
Former Yugoslav Republic of Macedonia																															2.480	2.430	2.700	2.770	2.470	2.500	2.950	2.690	2.890	2.710	2.670	2.580	2.530	2.790	2.750	2.850	2.970	3.080	3.040	2.820	2.870	3.140	2.990	2.770	2.690	2.680	
France	79.220	82.440	89.150	96.360	102.650	105.110	106.850	114.150	120.770	130.800	153.350	158.570	167.390	180.140	174.350	164.960	176.090	172.820	184.280	191.980	191.770	187.310	182.770	187.540	194.280	203.820	206.990	212.150	211.240	219.940	224.010	236.760	232.700	236.540	227.590	237.060	250.480	242.810	249.870	249.460	251.900	260.520	261.160	265.840	269.740	270.860	266.500	263.460	264.620	253.230	261.210	251.840	252.370	253.190	242.720	246.510	241.190
G20																															7 065.370	7 102.310	7 111.380	7 216.570	7 271.130	7 471.030	7 673.080	7 712.410	7 734.600	7 897.550	8 073.150	8 129.030	8 272.890	8 566.130	8 931.760	9 166.410	9 418.740	9 652.840	9 717.170	9 642.320	10 182.070	10 324.680	10 464.930	10 573.540	10 693.950	10 709.830	
Gabon												1.070	1.080	1.440	1.570	1.300	1.250	1.360	1.540	1.360	1.370	1.540	1.590	1.630	1.520	1.360	1.360	1.290	1.360	1.270	1.180	1.220	1.300	1.380	1.220	1.340	1.400	1.410	1.500	1.460	1.470	1.580	1.910	2.240	2.600	3.000	3.380	3.760	4.140	4.520	5.080	4.080	3.610	5.270	5.000	5.070	
Georgia																															12.410	10.050	8.660	7.600	4.680	3.730	3.750	3.290	3.040	2.780	2.870	2.570	2.540	2.710	2.780	2.840	3.030	3.340	3.000	3.100	3.120	3.540	3.710	3.900	4.390	4.630	
Germany	142.180	146.340	157.290	170.450	176.330	180.670	182.900	183.790	197.990	215.970	301.800	305.050	316.120	334.700	328.370	313.510	337.990	338.910	350.150	366.050	357.180	344.960	333.530	333.460	346.260	357.210	356.670	359.340	361.750	355.540	351.200	344.290	337.900	334.580	332.980	336.490	347.860	344.820	342.740	334.960	336.580	346.680	338.900	337.050	339.090	337.070	346.330	328.030	330.940	309.880	325.970	309.490	310.810	317.600	305.720	307.790	311.530
Ghana												3.000	3.170	3.360	3.530	3.660	3.660	3.890	3.880	3.910	4.020	4.210	4.330	3.670	3.920	4.350	4.530	4.900	4.800	5.170	5.290	5.480	5.670	5.940	6.180	6.470	6.690	7.000	7.390	7.680	6.280	6.320	6.280	5.940	5.940	5.890	6.270	6.270	6.390	6.910	7.580	7.600	8.470	9.160	8.890	9.700	
Greece	2.410	2.710	2.960	3.120	3.690	4.090	4.710	5.280	5.700	6.360	7.670	8.690	10.090	11.810	11.260	11.740	12.740	13.680	14.380	15.260	14.980	14.650	15.050	15.750	16.360	17.550	16.680	17.920	19.100	21.120	21.440	21.620	22.150	21.870	22.480	22.680	23.400	24.330	25.620	25.720	27.090	28.000	28.320	29.140	29.700	30.250	30.220	30.210	30.410	29.430	27.600	26.740	26.550	23.330	23.130	23.190	22.910
Guatemala												2.730	2.820	2.950	3.030	3.330	3.560	3.780	3.870	4.110	3.790	3.690	3.620	3.500	3.700	3.770	3.620	3.820	3.980	4.130	4.410	4.540	4.780	4.770	5.020	5.320	5.470	5.720	6.220	6.840	7.040	7.190	7.250	7.530	7.760	7.800	7.920	8.510	8.160	9.360	10.190	10.900	11.070	12.040	13.220	12.690	
Haiti												1.500	1.550	1.590	1.660	1.710	1.820	1.870	1.950	2.030	2.080	1.730	1.800	1.850	1.870	1.880	1.460	1.510	1.560	1.590	1.560	1.560	1.620	1.560	1.440	1.690	1.940	2.050	2.050	2.080	2.010	2.050	2.310	2.220	2.290	3.410	3.510	3.670	3.720	3.780	3.800	3.930	4.070	4.100	4.150	4.270	
Honduras												1.390	1.420	1.480	1.500	1.540	1.600	1.700	1.740	1.800	1.870	1.860	2.010	1.970	2.020	2.000	2.050	2.160	2.270	2.360	2.380	2.400	2.500	2.560	2.660	2.820	2.840	3.100	3.330	2.920	2.990	3.230	3.360	3.650	3.930	4.110	3.990	4.690	4.650	4.460	4.560	5.060	5.120	5.200	5.350	5.680	
