na_item,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
B1GQ,CP_MPPS,IS	9734.8 	10475.8 	10718.0 	9984.0 	9368.2 	9533.9 	9862.1 	10182.8 	10748.3 	11865.5 	12527.7 	: 
B1GQ,CP_MPPS,IT	1556123.3 	1637749.6 	1646106.5 	1551712.9 	1587779.3 	1627923.3 	1630252.2 	1598461.0 	1616041.8 	1680252.4 	1712527.1 	: 
B1GQ,CP_MPPS,LT	44619.0 	50865.4 	52438.2 	43664.7 	47611.6 	52199.5 	55667.4 	57916.7 	60889.7 	63137.8 	63037.4 	: 
B1GQ,CP_MPPS,LU	30497.1 	33230.4 	33483.4 	31159.4 	33208.1 	35971.4 	36757.3 	38149.1 	41673.6 	44094.0 	43858.2 	: 
B1GQ,CP_MPPS,LV	28926.1 	32883.8 	33441.8 	27490.3 	28179.9 	30719.4 	32668.5 	33521.5 	34984.2 	36599.8 	36899.6 	: 
B1GQ,CP_MPPS,ME	5319.0 	6319.5 	6737.6 	6126.7 	6462.2 	6768.9 	6501.2 	6784.7 	7044.3 	7644.7 	8075.9 	: 
B1GQ,CP_MPPS,MK	14661.1 	15737.6 	17022.9 	17180.5 	17862.1 	18150.9 	18556.7 	19294.6 	20471.2 	21642.2 	22564.1 p	: 
B1GQ,CP_MPPS,MT	7791.7 	8346.3 	8475.3 	8202.8 	8819.7 	8983.7 	9338.5 	9720.3 	10626.1 	12005.0 	12515.4 	: 
B1GQ,CP_MPPS,NL	549312.9 	587157.4 	595900.6 	553917.1 	565718.9 	580030.5 	591318.5 	600664.4 	604157.1 	633534.5 	633443.6 p	: 
B1GQ,CP_MPPS,NO	208637.4 	216992.4 	232748.4 	203657.2 	216844.2 	232170.9 	248180.0 	250179.0 	249945.6 	241901.9 	226556.5 	: 
B1GQ,CP_MPPS,PL	478069.5 	527561.8 	551773.9 	558634.7 	612668.8 	656041.5 	685458.9 	690652.1 	717248.8 	762842.1 	765220.7 	: 
B1GQ,CP_MPPS,PT	214748.1 	223414.8 	222243.9 	212817.2 	220917.5 	213257.4 	210179.6 	214287.4 	220361.9 	230987.3 	232982.0 p	: 
B1GQ,CP_MPPS,RO	205040.4 	237440.5 	271525.7 	255560.8 	263519.2 	273507.0 	287710.2 	291491.1 	302405.4 	322690.4 	334232.9 p	: 
B1GQ,CP_MPPS,RS	58958.8 	63748.1 	69260.7 	65886.7 	67367.1 	70758.7 	71303.1 	72404.6 	72372.5 	74452.6 	75401.1 	: 
B1GQ,CP_MPPS,SE	281256.5 	306025.1 	304994.0 	280512.9 	298410.8 	311853.6 	321701.4 	322054.8 	332466.9 	354370.7 	357155.8 	: 
B1GQ,CP_MPPS,SI	42798.2 	45926.2 	47328.7 	42636.1 	43479.6 	44601.0 	44923.4 	45082.5 	46888.8 	49033.8 	49732.9 	: 
B1GQ,CP_MPPS,SK	83903.0 	93774.5 	100730.1 	94494.8 	102973.0 	105196.0 	108881.1 	110922.0 	115525.2 	120909.6 	121747.3 	: 
B1GQ,CP_MPPS,TR	775257.4 	851764.9 	893528.2 	840490.4 	964339.8 	1088635.8 	1162961.3 	1241902.7 	1364223.2 	1468418.6 	1477441.1 	: 
B1GQ,CP_MPPS,UK	1737468.5 	1784245.0 	1771249.0 	1639115.8 	1721218.3 	1746723.0 	1814854.6 	1851453.1 	1938493.7 	2044875.5 	2059292.6 	: 
